DEBUG   2019-11-17 20:20:49,036 [http-nio-8080-exec-9] com.netreaders.dao.book.BookDaoImpl  - Find 1 book(s) by authorID '6'
DEBUG   2019-11-17 20:20:49,038 [http-nio-8080-exec-9] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '3'
DEBUG   2019-11-17 20:20:49,039 [http-nio-8080-exec-9] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '3'
DEBUG   2019-11-17 20:20:51,363 [http-nio-8080-exec-2] com.netreaders.dao.book.BookDaoImpl  - Find 3 book(s) by authorID '7'
DEBUG   2019-11-17 20:20:51,365 [http-nio-8080-exec-2] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '8'
DEBUG   2019-11-17 20:20:51,366 [http-nio-8080-exec-2] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '8'
DEBUG   2019-11-17 20:20:51,367 [http-nio-8080-exec-2] com.netreaders.dao.genres.GenreDaoImpl  - Find 4 genre(s) by bookID '9'
DEBUG   2019-11-17 20:20:51,368 [http-nio-8080-exec-2] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '9'
DEBUG   2019-11-17 20:20:51,369 [http-nio-8080-exec-2] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '10'
DEBUG   2019-11-17 20:20:51,370 [http-nio-8080-exec-2] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '10'
DEBUG   2019-11-17 20:24:12,878 [http-nio-8080-exec-7] com.netreaders.dao.book.BookDaoImpl  - Find 3 book(s) by authorID '7'
DEBUG   2019-11-17 20:24:12,893 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '8'
DEBUG   2019-11-17 20:24:12,902 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '8'
DEBUG   2019-11-17 20:24:12,904 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 4 genre(s) by bookID '9'
DEBUG   2019-11-17 20:24:12,905 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '9'
DEBUG   2019-11-17 20:24:12,906 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '10'
DEBUG   2019-11-17 20:24:12,908 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '10'
DEBUG   2019-11-17 20:26:31,342 [http-nio-8080-exec-7] com.netreaders.dao.book.BookDaoImpl  - Find 3 book(s) by authorID '7'
DEBUG   2019-11-17 20:26:31,360 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '8'
DEBUG   2019-11-17 20:26:31,369 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '8'
DEBUG   2019-11-17 20:26:31,370 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 4 genre(s) by bookID '9'
DEBUG   2019-11-17 20:26:31,371 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '9'
DEBUG   2019-11-17 20:26:31,373 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '10'
DEBUG   2019-11-17 20:26:31,375 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '10'
DEBUG   2019-11-17 20:29:02,386 [http-nio-8080-exec-7] com.netreaders.dao.book.BookDaoImpl  - Find 3 book(s) by authorID '7'
DEBUG   2019-11-17 20:29:02,397 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '8'
DEBUG   2019-11-17 20:29:02,405 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '8'
DEBUG   2019-11-17 20:29:02,406 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 4 genre(s) by bookID '9'
DEBUG   2019-11-17 20:29:02,407 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '9'
DEBUG   2019-11-17 20:29:02,408 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '10'
DEBUG   2019-11-17 20:29:02,409 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '10'
DEBUG   2019-11-17 20:34:41,107 [http-nio-8080-exec-7] com.netreaders.dao.book.BookDaoImpl  - Find 3 book(s) by authorID '7'
DEBUG   2019-11-17 20:34:41,119 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '8'
DEBUG   2019-11-17 20:34:41,130 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '8'
DEBUG   2019-11-17 20:34:41,131 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 4 genre(s) by bookID '9'
DEBUG   2019-11-17 20:34:41,132 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '9'
DEBUG   2019-11-17 20:34:41,133 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '10'
DEBUG   2019-11-17 20:34:41,134 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '10'
DEBUG   2019-11-17 20:37:43,549 [http-nio-8080-exec-7] com.netreaders.dao.book.BookDaoImpl  - Find 3 book(s) by authorID '7'
DEBUG   2019-11-17 20:37:43,560 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '8'
DEBUG   2019-11-17 20:37:43,569 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '8'
DEBUG   2019-11-17 20:37:43,570 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 4 genre(s) by bookID '9'
DEBUG   2019-11-17 20:37:43,571 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '9'
DEBUG   2019-11-17 20:37:43,572 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '10'
DEBUG   2019-11-17 20:37:43,573 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '10'
DEBUG   2019-11-17 20:38:59,325 [http-nio-8080-exec-7] com.netreaders.dao.book.BookDaoImpl  - Find 3 book(s) by authorID '7'
DEBUG   2019-11-17 20:38:59,340 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '8'
DEBUG   2019-11-17 20:38:59,347 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '8'
DEBUG   2019-11-17 20:38:59,348 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 4 genre(s) by bookID '9'
DEBUG   2019-11-17 20:38:59,349 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '9'
DEBUG   2019-11-17 20:38:59,350 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '10'
DEBUG   2019-11-17 20:38:59,351 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '10'
DEBUG   2019-11-17 20:41:25,375 [http-nio-8080-exec-2] com.netreaders.dao.book.BookDaoImpl  - Find 3 book(s) by authorID '7'
DEBUG   2019-11-17 20:41:25,393 [http-nio-8080-exec-2] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '8'
DEBUG   2019-11-17 20:41:25,406 [http-nio-8080-exec-2] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '8'
DEBUG   2019-11-17 20:41:25,408 [http-nio-8080-exec-2] com.netreaders.dao.genres.GenreDaoImpl  - Find 4 genre(s) by bookID '9'
DEBUG   2019-11-17 20:41:25,409 [http-nio-8080-exec-2] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '9'
DEBUG   2019-11-17 20:41:25,410 [http-nio-8080-exec-2] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '10'
DEBUG   2019-11-17 20:41:25,411 [http-nio-8080-exec-2] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '10'
DEBUG   2019-11-17 20:50:09,990 [http-nio-8080-exec-7] com.netreaders.dao.book.BookDaoImpl  - Find 3 book(s) by authorID '7'
DEBUG   2019-11-17 20:50:10,002 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '8'
DEBUG   2019-11-17 20:50:10,015 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '8'
DEBUG   2019-11-17 20:50:10,016 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 4 genre(s) by bookID '9'
DEBUG   2019-11-17 20:50:10,017 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '9'
DEBUG   2019-11-17 20:50:10,018 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '10'
DEBUG   2019-11-17 20:50:10,019 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '10'
DEBUG   2019-11-17 20:53:53,543 [http-nio-8080-exec-7] com.netreaders.dao.book.BookDaoImpl  - Find 3 book(s) by authorID '7'
DEBUG   2019-11-17 20:53:53,559 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '8'
DEBUG   2019-11-17 20:53:53,569 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '8'
DEBUG   2019-11-17 20:53:53,571 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 4 genre(s) by bookID '9'
DEBUG   2019-11-17 20:53:53,572 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '9'
DEBUG   2019-11-17 20:53:53,574 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '10'
DEBUG   2019-11-17 20:53:53,576 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '10'
DEBUG   2019-11-17 21:00:46,063 [http-nio-8080-exec-7] com.netreaders.dao.book.BookDaoImpl  - Find 3 book(s) by authorID '7'
DEBUG   2019-11-17 21:00:46,075 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 2 genre(s) by bookID '8'
DEBUG   2019-11-17 21:00:46,085 [http-nio-8080-exec-7] com.netreaders.dao.author.AuthorDaoImpl  - Find 1 author(s) by bookID '8'
DEBUG   2019-11-17 21:00:46,086 [http-nio-8080-exec-7] com.netreaders.dao.genres.GenreDaoImpl  - Find 4 genre(s) by bookID '9'
